Admission No,Name,Gender,Age,Date of Birth,Department,Address
UG2024001,Anjana Santhosh,Female,21,2004-09-09,Civil Engg.,"Pathanamthitta, Kerala"
UG2024002,Rahul Unnikrishnan,Male,21,2004-07-30,B.Sc. Physics,"Thrissur, Kerala"
UG2024003,Vishnu Lekshmi,Male,20,2005-07-13,B.Sc. Physics,"Alappuzha, Kerala"
UG2024004,Aparna Pillai,Female,21,2004-09-21,Computer Science,"Kottayam, Kerala"
UG2024005,Anjana Menon,Female,21,2004-01-21,BBA,"Thiruvananthapuram, Kerala"
UG2024006,Lakshmi Unnikrishnan,Female,20,2005-07-17,Mechanical Engg.,"Thiruvananthapuram, Kerala"
UG2024007,Hari Varma,Male,19,2006-02-23,B.Sc. Chemistry,"Ernakulam, Kerala"
UG2024008,Sreelakshmi Pradeep,Female,21,2004-08-31,BBA,"Alappuzha, Kerala"
UG2024009,Vishnu Pradeep,Male,20,2005-03-29,B.Com.,"Pathanamthitta, Kerala"
UG2024010,Suraj Krishnan,Male,20,2005-06-25,BBA,"Idukki, Kerala"
UG2024011,Rohit Rajeev,Male,21,2004-08-23,Mechanical Engg.,"Kannur, Kerala"
UG2024012,Hari Menon,Male,20,2005-01-31,BBA,"Kozhikode, Kerala"
UG2024013,Soumya Menon,Female,19,2006-08-03,BBA,"Thrissur, Kerala"
UG2024014,Rahul Madhavan,Male,19,2006-06-06,Biotechnology,"Thrissur, Kerala"
UG2024015,Rahul Unnikrishnan,Male,22,2003-03-11,Computer Science,"Kollam, Kerala"
UG2024016,Dinesh Madhavan,Male,20,2005-10-19,Biotechnology,"Malappuram, Kerala"
UG2024017,Rahul Surendran,Male,20,2005-06-08,Electronics Engg.,"Kannur, Kerala"
UG2024018,Devika Pradeep,Female,22,2003-07-28,Electronics Engg.,"Alappuzha, Kerala"
UG2024019,Devika Nair,Female,19,2006-05-10,B.A. English,"Wayanad, Kerala"
UG2024020,Anusha Santhosh,Female,19,2006-01-04,Biotechnology,"Thiruvananthapuram, Kerala"
UG2024021,Nithin Lekshmi,Male,20,2005-04-15,Civil Engg.,"Alappuzha, Kerala"
UG2024022,Nithin Varma,Male,19,2006-04-18,Computer Science,"Kollam, Kerala"
UG2024023,Dinesh Unnikrishnan,Male,20,2005-07-16,Computer Science,"Wayanad, Kerala"
UG2024024,Aparna Lekshmi,Female,22,2003-04-05,Computer Science,"Idukki, Kerala"
UG2024025,Sreelakshmi Harikrishnan,Female,20,2005-06-22,Electronics Engg.,"Kozhikode, Kerala"
UG2024026,Lakshmi Warrier,Female,21,2004-02-26,B.A. English,"Thrissur, Kerala"
UG2024027,Meera Krishnan,Female,21,2004-09-03,Biotechnology,"Kannur, Kerala"
UG2024028,Devika Unnikrishnan,Female,22,2003-08-15,Biotechnology,"Kannur, Kerala"
UG2024029,Meera Krishnan,Female,21,2004-06-01,Computer Science,"Thiruvananthapuram, Kerala"
UG2024030,Rohit Unnikrishnan,Male,22,2003-10-31,BBA,"Alappuzha, Kerala"
UG2024031,Akhil Unnikrishnan,Male,22,2003-07-28,Electronics Engg.,"Kollam, Kerala"
UG2024032,Aparna Narayanan,Female,20,2005-03-16,Electronics Engg.,"Thrissur, Kerala"
UG2024033,Meera Lekshmi,Female,19,2006-08-29,Civil Engg.,"Idukki, Kerala"
UG2024034,Anand Santhosh,Male,21,2004-04-02,Mechanical Engg.,"Kozhikode, Kerala"
UG2024035,Lakshmi Madhavan,Female,19,2006-01-18,BBA,"Pathanamthitta, Kerala"
UG2024036,Anand Nair,Male,22,2003-11-14,Biotechnology,"Kottayam, Kerala"
UG2024037,Hari Madhavan,Male,21,2004-05-29,Computer Science,"Wayanad, Kerala"
UG2024038,Nithin Rajeev,Male,21,2004-11-27,BBA,"Alappuzha, Kerala"
UG2024039,Kiran Lekshmi,Male,20,2005-09-11,Computer Science,"Wayanad, Kerala"
UG2024040,Sneha Menon,Female,22,2003-03-24,Civil Engg.,"Kasaragod, Kerala"
UG2024041,Adithya Santhosh,Male,20,2005-07-11,BBA,"Kozhikode, Kerala"
UG2024042,Praveen Varma,Male,19,2006-10-27,BBA,"Wayanad, Kerala"
UG2024043,Vishnu Pradeep,Male,21,2004-01-16,Electronics Engg.,"Wayanad, Kerala"
UG2024044,Nithin Nair,Male,20,2005-08-31,Computer Science,"Kasaragod, Kerala"
UG2024045,Aparna Santhosh,Female,21,2004-04-02,B.A. English,"Thrissur, Kerala"
UG2024046,Sneha Menon,Female,21,2004-05-07,B.Sc. Chemistry,"Alappuzha, Kerala"
UG2024047,Gopika Lekshmi,Female,22,2003-12-29,BBA,"Kozhikode, Kerala"
UG2024048,Devika Surendran,Female,20,2005-09-11,B.Sc. Physics,"Kannur, Kerala"
UG2024049,Lakshmi Warrier,Female,22,2003-11-09,Electronics Engg.,"Alappuzha, Kerala"
UG2024050,Devika Lekshmi,Female,20,2005-08-08,B.A. English,"Pathanamthitta, Kerala"
UG2024051,Dinesh Santhosh,Male,20,2005-05-17,BBA,"Alappuzha, Kerala"
UG2024052,Santhosh Nair,Male,20,2005-06-21,Computer Science,"Wayanad, Kerala"
UG2024053,Devika Lekshmi,Female,22,2003-09-21,BBA,"Thiruvananthapuram, Kerala"
UG2024054,Rahul Pradeep,Male,22,2003-05-06,BBA,"Kottayam, Kerala"
UG2024055,Anand Warrier,Male,21,2004-10-01,B.Sc. Chemistry,"Kottayam, Kerala"
UG2024056,Soumya Harikrishnan,Female,20,2005-10-12,Computer Science,"Thrissur, Kerala"
UG2024057,Nithin Surendran,Male,21,2004-07-16,Biotechnology,"Palakkad, Kerala"
UG2024058,Sreelakshmi Lekshmi,Female,22,2003-06-09,B.Sc. Chemistry,"Pathanamthitta, Kerala"
UG2024059,Devika Lekshmi,Female,19,2006-06-21,B.A. English,"Thrissur, Kerala"
