Admission No,Username,Password
UG2024001,anjana_santhosh,UG2024001@123
UG2024002,rahul_unnikrishnan,UG2024002@123
UG2024003,vishnu_lekshmi,UG2024003@123
UG2024004,aparna_pillai,UG2024004@123
UG2024005,anjana_menon,UG2024005@123
UG2024006,lakshmi_unnikrishnan,UG2024006@123
UG2024007,hari_varma,UG2024007@123
UG2024008,sreelakshmi_pradeep,UG2024008@123
UG2024009,vishnu_pradeep,UG2024009@123
UG2024010,suraj_krishnan,UG2024010@123
UG2024011,rohit_rajeev,UG2024011@123
UG2024012,hari_menon,UG2024012@123
UG2024013,soumya_menon,UG2024013@123
UG2024014,rahul_madhavan,UG2024014@123
UG2024015,rahul_unnikrishnan,UG2024015@123
UG2024016,dinesh_madhavan,UG2024016@123
UG2024017,rahul_surendran,UG2024017@123
UG2024018,devika_pradeep,UG2024018@123
UG2024019,devika_nair,UG2024019@123
UG2024020,anusha_santhosh,UG2024020@123
UG2024021,nithin_lekshmi,UG2024021@123
UG2024022,nithin_varma,UG2024022@123
UG2024023,dinesh_unnikrishnan,UG2024023@123
UG2024024,aparna_lekshmi,UG2024024@123
UG2024025,sreelakshmi_harikrishnan,UG2024025@123
UG2024026,lakshmi_warrier,UG2024026@123
UG2024027,meera_krishnan,UG2024027@123
UG2024028,devika_unnikrishnan,UG2024028@123
UG2024029,meera_krishnan,UG2024029@123
UG2024030,rohit_unnikrishnan,UG2024030@123
UG2024031,akhil_unnikrishnan,UG2024031@123
UG2024032,aparna_narayanan,UG2024032@123
UG2024033,meera_lekshmi,UG2024033@123
UG2024034,anand_santhosh,UG2024034@123
UG2024035,lakshmi_madhavan,UG2024035@123
UG2024036,anand_nair,UG2024036@123
UG2024037,hari_madhavan,UG2024037@123
UG2024038,nithin_rajeev,UG2024038@123
UG2024039,kiran_lekshmi,UG2024039@123
UG2024040,sneha_menon,UG2024040@123
UG2024041,adithya_santhosh,UG2024041@123
UG2024042,praveen_varma,UG2024042@123
UG2024043,vishnu_pradeep,UG2024043@123
UG2024044,nithin_nair,UG2024044@123
UG2024045,aparna_santhosh,UG2024045@123
UG2024046,sneha_menon,UG2024046@123
UG2024047,gopika_lekshmi,UG2024047@123
UG2024048,devika_surendran,UG2024048@123
UG2024049,lakshmi_warrier,UG2024049@123
UG2024050,devika_lekshmi,UG2024050@123
UG2024051,dinesh_santhosh,UG2024051@123
UG2024052,santhosh_nair,UG2024052@123
UG2024053,devika_lekshmi,UG2024053@123
UG2024054,rahul_pradeep,UG2024054@123
UG2024055,anand_warrier,UG2024055@123
UG2024056,soumya_harikrishnan,UG2024056@123
UG2024057,nithin_surendran,UG2024057@123
UG2024058,sreelakshmi_lekshmi,UG2024058@123
UG2024059,devika_lekshmi,UG2024059@123
UG2024060,keerthi_surendran,UG2024060@123
UG2024061,soumya_menon,UG2024061@123
UG2024062,haritha_rajeev,UG2024062@123
UG2024063,anusha_warrier,UG2024063@123
UG2024064,lakshmi_nair,UG2024064@123
UG2024065,meera_lekshmi,UG2024065@123
UG2024066,anand_surendran,UG2024066@123
UG2024067,meera_madhavan,UG2024067@123
UG2024068,deepa_santhosh,UG2024068@123
UG2024069,nithin_santhosh,UG2024069@123
UG2024070,madhav_pillai,UG2024070@123
UG2024071,nithin_rajeev,UG2024071@123
UG2024072,rahul_rajeev,UG2024072@123
UG2024073,rahul_rajeev,UG2024073@123
UG2024074,adithya_lekshmi,UG2024074@123
UG2024075,aparna_warrier,UG2024075@123
UG2024076,hari_rajeev,UG2024076@123
UG2024077,praveen_harikrishnan,UG2024077@123
UG2024078,devika_warrier,UG2024078@123
UG2024079,suraj_madhavan,UG2024079@123
UG2024080,rahul_narayanan,UG2024080@123
UG2024081,rahul_rajeev,UG2024081@123
UG2024082,sneha_krishnan,UG2024082@123
UG2024083,gopika_harikrishnan,UG2024083@123
UG2024084,adithya_warrier,UG2024084@123
UG2024085,devika_lekshmi,UG2024085@123
UG2024086,meera_pillai,UG2024086@123
UG2024087,keerthi_warrier,UG2024087@123
UG2024088,aparna_madhavan,UG2024088@123
UG2024089,anjana_unnikrishnan,UG2024089@123
UG2024090,suraj_menon,UG2024090@123
UG2024091,akhil_surendran,UG2024091@123
UG2024092,anand_menon,UG2024092@123
UG2024093,kiran_pillai,UG2024093@123
UG2024094,sneha_warrier,UG2024094@123
UG2024095,praveen_narayanan,UG2024095@123
UG2024096,adithya_warrier,UG2024096@123
UG2024097,rahul_narayanan,UG2024097@123
UG2024098,suraj_narayanan,UG2024098@123
UG2024099,rohit_narayanan,UG2024099@123
UG2024100,gopika_warrier,UG2024100@123
UG2024101,haritha_menon,UG2024101@123
UG2024102,santhosh_surendran,UG2024102@123
UG2024103,dinesh_lekshmi,UG2024103@123
UG2024104,rohit_pradeep,UG2024104@123
UG2024105,vishnu_krishnan,UG2024105@123
UG2024106,akhil_surendran,UG2024106@123
UG2024107,sreelakshmi_harikrishnan,UG2024107@123
UG2024108,arjun_surendran,UG2024108@123
UG2024109,adithya_menon,UG2024109@123
UG2024110,dinesh_pillai,UG2024110@123
UG2024111,devika_krishnan,UG2024111@123
UG2024112,devika_madhavan,UG2024112@123
UG2024113,rohit_krishnan,UG2024113@123
UG2024114,neha_santhosh,UG2024114@123
UG2024115,santhosh_lekshmi,UG2024115@123
UG2024116,rohit_surendran,UG2024116@123
UG2024117,madhav_surendran,UG2024117@123
UG2024118,akhil_santhosh,UG2024118@123
UG2024119,santhosh_harikrishnan,UG2024119@123
UG2024120,deepa_santhosh,UG2024120@123
UG2024121,praveen_lekshmi,UG2024121@123
UG2024122,gopika_warrier,UG2024122@123
UG2024123,arjun_narayanan,UG2024123@123
UG2024124,rohit_pillai,UG2024124@123
UG2024125,meera_rajeev,UG2024125@123
UG2024126,deepa_nair,UG2024126@123
UG2024127,aparna_krishnan,UG2024127@123
UG2024128,reshma_pradeep,UG2024128@123
UG2024129,akhil_harikrishnan,UG2024129@123
UG2024130,devika_nair,UG2024130@123
UG2024131,praveen_varma,UG2024131@123
UG2024132,devika_harikrishnan,UG2024132@123
UG2024133,gopika_nair,UG2024133@123
UG2024134,meera_nair,UG2024134@123
UG2024135,dinesh_menon,UG2024135@123
UG2024136,lakshmi_madhavan,UG2024136@123
UG2024137,aparna_rajeev,UG2024137@123
UG2024138,rahul_krishnan,UG2024138@123
UG2024139,dinesh_varma,UG2024139@123
UG2024140,reshma_menon,UG2024140@123
UG2024141,arjun_lekshmi,UG2024141@123
UG2024142,anand_narayanan,UG2024142@123
UG2024143,soumya_narayanan,UG2024143@123
UG2024144,kiran_narayanan,UG2024144@123
UG2024145,kiran_varma,UG2024145@123
UG2024146,anjana_narayanan,UG2024146@123
UG2024147,lakshmi_rajeev,UG2024147@123
UG2024148,neha_rajeev,UG2024148@123
UG2024149,vishnu_narayanan,UG2024149@123
UG2024150,aparna_krishnan,UG2024150@123
